fast_ema,slow_ema,rsi_period,rsi_overbought,rsi_oversold,atr_period,stop_atr,take_atr,final_capital,profit
10,30,14,75,25,14,2.0,2,1083.0000000000032,83.00000000000318
10,30,14,75,30,14,2.0,2,1083.0000000000032,83.00000000000318
15,20,14,75,25,14,2.0,2,1049.9400000000044,49.940000000004375
15,20,14,75,30,14,2.0,2,1049.9400000000044,49.940000000004375
10,30,14,75,30,14,1.0,2,1021.1700000000124,21.17000000001235
10,30,14,75,25,14,1.0,2,1021.1700000000124,21.17000000001235
15,20,14,75,25,14,1.0,2,1020.2500000000126,20.25000000001262
15,20,14,75,30,14,1.0,2,1020.2500000000126,20.25000000001262
10,30,14,75,30,14,1.5,2,1010.1400000000054,10.140000000005443
10,30,14,75,25,14,1.5,2,1010.1400000000054,10.140000000005443
10,30,14,70,25,14,1.0,3,1009.8700000000129,9.870000000012851
10,30,14,70,30,14,1.0,3,1009.8700000000129,9.870000000012851
5,40,14,75,30,14,2.0,2,1009.8500000000007,9.850000000000705
5,40,14,75,25,14,2.0,2,1009.8500000000007,9.850000000000705
20,50,14,75,25,14,1.5,4,1009.590000000004,9.59000000000401
20,50,14,75,30,14,1.5,4,1009.590000000004,9.59000000000401
10,30,14,75,25,14,1.0,3,1002.91000000001,2.9100000000099726
10,30,14,75,30,14,1.0,3,1002.91000000001,2.9100000000099726
15,20,14,70,30,14,1.0,3,1002.890000000012,2.890000000012037
15,20,14,70,25,14,1.0,3,1002.890000000012,2.890000000012037
10,30,14,75,25,14,2.0,4,1002.3200000000091,2.320000000009145
10,30,14,75,30,14,2.0,4,1002.3200000000091,2.320000000009145
15,70,14,75,25,14,1.5,4,1001.430000000004,1.4300000000040427
15,70,14,75,30,14,1.5,4,1001.430000000004,1.4300000000040427
20,60,14,75,30,14,1.5,4,1000.3500000000026,0.35000000000263753
20,60,14,75,25,14,1.5,4,1000.3500000000026,0.35000000000263753
15,80,14,75,25,14,1.5,4,998.5900000000015,-1.4099999999984902
15,80,14,75,30,14,1.5,4,998.5900000000015,-1.4099999999984902
10,30,14,70,25,14,2.0,3,998.4900000000058,-1.5099999999941929
10,30,14,70,30,14,2.0,3,998.4900000000058,-1.5099999999941929
15,20,14,75,30,14,1.0,3,998.2300000000097,-1.7699999999903184
15,20,14,75,25,14,1.0,3,998.2300000000097,-1.7699999999903184
10,30,14,70,30,14,1.0,4,997.8100000000098,-2.189999999990164
10,30,14,70,25,14,1.0,4,997.8100000000098,-2.189999999990164
10,30,14,70,30,14,2.0,4,996.5300000000083,-3.469999999991728
10,30,14,70,25,14,2.0,4,996.5300000000083,-3.469999999991728
15,20,14,70,25,14,1.0,4,995.100000000007,-4.899999999993042
15,20,14,70,30,14,1.0,4,995.100000000007,-4.899999999993042
15,60,14,75,30,14,1.5,4,993.200000000002,-6.799999999998022
15,60,14,75,25,14,1.5,4,993.200000000002,-6.799999999998022
15,80,14,75,25,14,2.0,4,992.0500000000029,-7.94999999999709
15,80,14,75,30,14,2.0,4,992.0500000000029,-7.94999999999709
10,30,14,75,25,14,1.5,4,991.3200000000083,-8.67999999999165
10,30,14,75,30,14,1.5,4,991.3200000000083,-8.67999999999165
5,80,14,75,30,14,1.5,4,991.270000000004,-8.72999999999604
5,80,14,75,25,14,1.5,4,991.270000000004,-8.72999999999604
15,60,14,75,30,14,2.0,4,989.5300000000034,-10.469999999996617
15,60,14,75,25,14,2.0,4,989.5300000000034,-10.469999999996617
15,70,14,75,25,14,2.0,4,989.3700000000053,-10.629999999994652
15,70,14,75,30,14,2.0,4,989.3700000000053,-10.629999999994652
20,60,14,75,25,14,2.0,4,989.2400000000046,-10.759999999995443
20,60,14,75,30,14,2.0,4,989.2400000000046,-10.759999999995443
10,80,14,75,30,14,2.0,4,988.7200000000028,-11.279999999997244
10,80,14,75,25,14,2.0,4,988.7200000000028,-11.279999999997244
20,40,14,75,30,14,1.5,4,988.4900000000022,-11.50999999999783
20,40,14,75,25,14,1.5,4,988.4900000000022,-11.50999999999783
10,80,14,75,30,14,1.5,4,988.1900000000024,-11.809999999997558
10,80,14,75,25,14,1.5,4,988.1900000000024,-11.809999999997558
20,50,14,75,25,14,2.0,4,988.1100000000055,-11.88999999999453
20,50,14,75,30,14,2.0,4,988.1100000000055,-11.88999999999453
10,70,14,75,30,14,2.0,4,987.3200000000047,-12.679999999995289
10,70,14,75,25,14,2.0,4,987.3200000000047,-12.679999999995289
10,70,14,75,30,14,1.5,4,986.7900000000043,-13.209999999995716
10,70,14,75,25,14,1.5,4,986.7900000000043,-13.209999999995716
10,30,14,75,25,14,1.0,4,985.160000000008,-14.83999999999196
10,30,14,75,30,14,1.0,4,985.160000000008,-14.83999999999196
20,40,14,75,30,14,2.0,4,984.8200000000039,-15.179999999996085
20,40,14,75,25,14,2.0,4,984.8200000000039,-15.179999999996085
15,50,14,75,25,14,2.0,4,984.8200000000039,-15.179999999996085
15,50,14,75,30,14,2.0,4,984.8200000000039,-15.179999999996085
10,60,14,75,30,14,2.0,4,984.3200000000028,-15.679999999997221
10,60,14,75,25,14,2.0,4,984.3200000000028,-15.679999999997221
15,50,14,75,30,14,1.5,4,984.2900000000035,-15.709999999996512
15,50,14,75,25,14,1.5,4,984.2900000000035,-15.709999999996512
10,60,14,75,30,14,1.5,4,983.7900000000025,-16.209999999997535
10,60,14,75,25,14,1.5,4,983.7900000000025,-16.209999999997535
15,20,14,75,25,14,1.0,4,983.1800000000054,-16.819999999994593
15,20,14,75,30,14,1.0,4,983.1800000000054,-16.819999999994593
5,30,14,75,25,14,2.0,2,981.5200000000087,-18.479999999991264
5,30,14,75,30,14,2.0,2,981.5200000000087,-18.479999999991264
15,20,14,75,30,14,1.5,2,981.480000000004,-18.519999999996003
15,20,14,75,25,14,1.5,2,981.480000000004,-18.519999999996003
10,90,14,75,25,14,2.0,4,980.7300000000034,-19.26999999999657
10,90,14,75,30,14,2.0,4,980.7300000000034,-19.26999999999657
10,100,14,75,30,14,1.5,4,980.3600000000037,-19.63999999999635
10,100,14,75,25,14,1.5,4,980.3600000000037,-19.63999999999635
10,90,14,75,30,14,1.5,4,980.2000000000031,-19.799999999996885
10,90,14,75,25,14,1.5,4,980.2000000000031,-19.799999999996885
20,60,14,75,25,14,1.0,4,977.8800000000028,-22.119999999997162
20,60,14,75,30,14,1.0,4,977.8800000000028,-22.119999999997162
15,20,14,75,25,14,2.0,4,977.4700000000072,-22.52999999999281
15,20,14,75,30,14,2.0,4,977.4700000000072,-22.52999999999281
20,50,14,75,30,14,1.5,2,977.0400000000072,-22.95999999999276
20,50,14,75,25,14,1.5,2,977.0400000000072,-22.95999999999276
10,40,14,75,25,14,2.0,4,975.8000000000042,-24.19999999999584
10,40,14,75,30,14,2.0,4,975.8000000000042,-24.19999999999584
5,70,14,75,25,14,2.0,4,975.6700000000028,-24.3299999999972
5,70,14,75,30,14,2.0,4,975.6700000000028,-24.3299999999972
10,80,14,75,30,14,1.5,2,975.1800000000067,-24.819999999993342
10,80,14,75,25,14,1.5,2,975.1800000000067,-24.819999999993342
20,70,14,75,30,14,1.5,4,974.7499999999985,-25.250000000001478
20,70,14,75,25,14,1.5,4,974.7499999999985,-25.250000000001478
20,50,14,75,25,14,1.0,4,974.540000000004,-25.459999999995944
20,50,14,75,30,14,1.0,4,974.540000000004,-25.459999999995944
15,90,14,75,30,14,1.5,4,974.3499999999981,-25.65000000000191
15,90,14,75,25,14,1.5,4,974.3499999999981,-25.65000000000191
10,100,14,75,30,14,2.0,4,974.3200000000038,-25.6799999999962
10,100,14,75,25,14,2.0,4,974.3200000000038,-25.6799999999962
10,70,14,75,30,14,1.5,2,973.6400000000089,-26.359999999991146
10,70,14,75,25,14,1.5,2,973.6400000000089,-26.359999999991146
10,60,14,75,25,14,1.5,2,970.3400000000067,-29.65999999999326
10,60,14,75,30,14,1.5,2,970.3400000000067,-29.65999999999326
5,80,14,75,25,14,2.0,4,970.0400000000019,-29.959999999998104
5,80,14,75,30,14,2.0,4,970.0400000000019,-29.959999999998104
15,60,14,70,30,14,1.0,4,969.7800000000065,-30.219999999993547
15,60,14,70,25,14,1.0,4,969.7800000000065,-30.219999999993547
15,60,14,75,25,14,1.5,2,969.6100000000054,-30.389999999994643
15,60,14,75,30,14,1.5,2,969.6100000000054,-30.389999999994643
15,80,14,75,30,14,1.0,4,969.0100000000023,-30.989999999997735
15,80,14,75,25,14,1.0,4,969.0100000000023,-30.989999999997735
20,40,14,75,30,14,1.5,2,968.8500000000058,-31.14999999999418
20,40,14,75,25,14,1.5,2,968.8500000000058,-31.14999999999418
10,50,14,75,25,14,2.0,4,968.1700000000039,-31.829999999996062
10,50,14,75,30,14,2.0,4,968.1700000000039,-31.829999999996062
5,100,14,75,25,14,1.5,4,966.9700000000066,-33.02999999999338
5,100,14,75,30,14,1.5,4,966.9700000000066,-33.02999999999338
5,90,14,75,25,14,1.5,4,966.5200000000057,-33.479999999994334
5,90,14,75,30,14,1.5,4,966.5200000000057,-33.479999999994334
10,80,14,75,25,14,2.0,2,965.7000000000032,-34.29999999999677
10,80,14,75,30,14,2.0,2,965.7000000000032,-34.29999999999677
20,40,14,70,25,14,1.0,4,965.1600000000069,-34.8399999999931
20,40,14,70,30,14,1.0,4,965.1600000000069,-34.8399999999931
15,20,14,75,25,14,1.5,4,965.0700000000065,-34.92999999999347
15,20,14,75,30,14,1.5,4,965.0700000000065,-34.92999999999347
10,90,14,75,25,14,1.5,2,964.9600000000075,-35.03999999999246
10,90,14,75,30,14,1.5,2,964.9600000000075,-35.03999999999246
15,50,14,75,25,14,1.5,2,964.650000000007,-35.349999999992974
15,50,14,75,30,14,1.5,2,964.650000000007,-35.349999999992974
10,40,14,75,25,14,1.5,4,964.5300000000033,-35.46999999999673
10,40,14,75,30,14,1.5,4,964.5300000000033,-35.46999999999673
10,70,14,75,25,14,2.0,2,964.3000000000052,-35.699999999994816
10,70,14,75,30,14,2.0,2,964.3000000000052,-35.699999999994816
10,80,14,75,30,14,1.0,4,963.7800000000041,-36.219999999995935
10,80,14,75,25,14,1.0,4,963.7800000000041,-36.219999999995935
10,70,14,75,30,14,1.0,4,962.5200000000057,-37.479999999994334
10,70,14,75,25,14,1.0,4,962.5200000000057,-37.479999999994334
10,60,14,75,30,14,1.0,4,962.1800000000039,-37.81999999999607
10,60,14,75,25,14,1.0,4,962.1800000000039,-37.81999999999607
10,60,14,75,30,14,2.0,2,961.3000000000033,-38.69999999999675
10,60,14,75,25,14,2.0,2,961.3000000000033,-38.69999999999675
10,80,14,70,30,14,1.0,4,960.9600000000069,-39.03999999999314
10,80,14,70,25,14,1.0,4,960.9600000000069,-39.03999999999314
20,50,14,75,25,14,2.0,2,960.4000000000052,-39.59999999999479
20,50,14,75,30,14,2.0,2,960.4000000000052,-39.59999999999479
10,90,14,70,25,14,1.0,4,960.3600000000079,-39.63999999999214
10,90,14,70,30,14,1.0,4,960.3600000000079,-39.63999999999214
15,90,14,75,30,14,2.0,4,959.8900000000016,-40.10999999999842
15,90,14,75,25,14,2.0,4,959.8900000000016,-40.10999999999842
10,70,14,70,30,14,1.0,4,959.7000000000087,-40.299999999991314
10,70,14,70,25,14,1.0,4,959.7000000000087,-40.299999999991314
10,90,14,75,30,14,1.0,4,959.3300000000045,-40.669999999995525
10,90,14,75,25,14,1.0,4,959.3300000000045,-40.669999999995525
15,20,14,70,30,14,2.0,4,958.8500000000059,-41.149999999994066
15,20,14,70,25,14,2.0,4,958.8500000000059,-41.149999999994066
15,60,14,75,30,14,1.0,4,958.1200000000028,-41.87999999999715
15,60,14,75,25,14,1.0,4,958.1200000000028,-41.87999999999715
10,90,14,75,30,14,2.0,2,957.8500000000039,-42.14999999999611
10,90,14,75,25,14,2.0,2,957.8500000000039,-42.14999999999611
10,50,14,75,30,14,1.5,4,957.8500000000031,-42.14999999999691
10,50,14,75,25,14,1.5,4,957.8500000000031,-42.14999999999691
20,60,14,75,30,14,1.5,2,957.6500000000058,-42.349999999994225
20,60,14,75,25,14,1.5,2,957.6500000000058,-42.349999999994225
10,100,14,75,25,14,1.0,4,957.1800000000044,-42.819999999995616
10,100,14,75,30,14,1.0,4,957.1800000000044,-42.819999999995616
20,50,14,75,25,14,1.0,3,957.0200000000077,-42.97999999999229
20,50,14,75,30,14,1.0,3,957.0200000000077,-42.97999999999229
10,60,14,70,25,14,1.0,4,957.000000000007,-42.99999999999295
10,60,14,70,30,14,1.0,4,957.000000000007,-42.99999999999295
15,70,14,75,25,14,1.5,2,956.9500000000074,-43.049999999992565
15,70,14,75,30,14,1.5,2,956.9500000000074,-43.049999999992565
15,60,14,70,30,14,1.5,3,956.7900000000069,-43.2099999999931
15,60,14,70,25,14,1.5,3,956.7900000000069,-43.2099999999931
15,70,14,75,25,14,1.0,4,956.7500000000045,-43.24999999999545
15,70,14,75,30,14,1.0,4,956.7500000000045,-43.24999999999545
15,60,14,75,30,14,2.0,2,956.7400000000029,-43.25999999999715
15,60,14,75,25,14,2.0,2,956.7400000000029,-43.25999999999715
15,60,14,70,25,14,1.0,3,956.5800000000105,-43.4199999999895
15,60,14,70,30,14,1.0,3,956.5800000000105,-43.4199999999895
20,60,14,75,30,14,1.0,3,956.2200000000065,-43.77999999999349
20,60,14,75,25,14,1.0,3,956.2200000000065,-43.77999999999349
20,50,14,70,30,14,1.0,4,956.1500000000065,-43.84999999999354
20,50,14,70,25,14,1.0,4,956.1500000000065,-43.84999999999354
15,20,14,70,30,14,2.0,3,955.5900000000058,-44.40999999999417
15,20,14,70,25,14,2.0,3,955.5900000000058,-44.40999999999417
10,30,14,70,30,14,1.5,4,955.1500000000058,-44.849999999994225
10,30,14,70,25,14,1.5,4,955.1500000000058,-44.849999999994225
10,30,14,75,30,14,2.0,3,954.61000000001,-45.38999999998998
10,30,14,75,25,14,2.0,3,954.61000000001,-45.38999999998998
15,60,14,70,25,14,1.5,4,954.3900000000046,-45.60999999999535
15,60,14,70,30,14,1.5,4,954.3900000000046,-45.60999999999535
20,30,14,75,30,14,1.5,4,953.7500000000024,-46.24999999999761
20,30,14,75,25,14,1.5,4,953.7500000000024,-46.24999999999761
10,80,14,70,25,14,1.0,3,953.6900000000097,-46.30999999999028
10,80,14,70,30,14,1.0,3,953.6900000000097,-46.30999999999028
20,40,14,75,25,14,1.0,4,953.5000000000032,-46.49999999999682
20,40,14,75,30,14,1.0,4,953.5000000000032,-46.49999999999682
15,80,14,75,25,14,1.0,3,953.2700000000075,-46.729999999992515
15,80,14,75,30,14,1.0,3,953.2700000000075,-46.729999999992515
20,30,14,75,25,14,2.0,4,953.2700000000026,-46.7299999999974
20,30,14,75,30,14,2.0,4,953.2700000000026,-46.7299999999974
15,40,14,75,25,14,2.0,4,952.9400000000002,-47.05999999999983
15,40,14,75,30,14,2.0,4,952.9400000000002,-47.05999999999983
15,50,14,75,25,14,2.0,2,952.7700000000034,-47.22999999999661
20,40,14,75,30,14,2.0,2,952.7700000000034,-47.22999999999661
15,50,14,75,30,14,2.0,2,952.7700000000034,-47.22999999999661
20,40,14,75,25,14,2.0,2,952.7700000000034,-47.22999999999661
10,70,14,70,25,14,1.0,3,952.4300000000114,-47.56999999998857
10,70,14,70,30,14,1.0,3,952.4300000000114,-47.56999999998857
15,40,14,75,25,14,1.5,4,952.2499999999999,-47.750000000000114
15,40,14,75,30,14,1.5,4,952.2499999999999,-47.750000000000114
20,40,14,70,25,14,1.5,3,952.1700000000073,-47.82999999999265
20,40,14,70,30,14,1.5,3,952.1700000000073,-47.82999999999265
15,80,14,75,25,14,1.5,2,952.0700000000045,-47.929999999995516
15,80,14,75,30,14,1.5,2,952.0700000000045,-47.929999999995516
20,40,14,70,30,14,1.0,3,951.960000000011,-48.03999999998905
20,40,14,70,25,14,1.0,3,951.960000000011,-48.03999999998905
15,50,14,75,25,14,1.0,4,951.9400000000045,-48.05999999999551
15,50,14,75,30,14,1.0,4,951.9400000000045,-48.05999999999551
15,50,14,70,30,14,1.0,3,951.8800000000119,-48.11999999998807
15,50,14,70,25,14,1.0,3,951.8800000000119,-48.11999999998807
10,100,14,75,30,14,1.5,2,951.810000000008,-48.18999999999198
10,100,14,75,25,14,1.5,2,951.810000000008,-48.18999999999198
10,80,14,70,25,14,1.5,3,951.4800000000075,-48.51999999999248
10,80,14,70,30,14,1.5,3,951.4800000000075,-48.51999999999248
15,60,14,75,25,14,1.0,3,951.4100000000109,-48.58999999998912
15,60,14,75,30,14,1.0,3,951.4100000000109,-48.58999999998912
20,70,14,75,30,14,2.0,4,950.3100000000024,-49.68999999999755
20,70,14,75,25,14,2.0,4,950.3100000000024,-49.68999999999755
10,70,14,70,25,14,1.5,3,950.2200000000093,-49.77999999999065
10,70,14,70,30,14,1.5,3,950.2200000000093,-49.77999999999065
10,30,14,70,30,14,2.0,2,950.0000000000023,-49.999999999997726
10,30,14,70,25,14,2.0,2,950.0000000000023,-49.999999999997726
15,70,14,75,25,14,2.0,2,949.8400000000049,-50.15999999999508
15,70,14,75,30,14,2.0,2,949.8400000000049,-50.15999999999508
20,40,14,70,30,14,1.5,4,949.7700000000051,-50.2299999999949
20,40,14,70,25,14,1.5,4,949.7700000000051,-50.2299999999949
10,60,14,70,30,14,1.0,3,949.7300000000098,-50.269999999990205
10,60,14,70,25,14,1.0,3,949.7300000000098,-50.269999999990205
10,80,14,75,30,14,1.0,3,949.6300000000106,-50.36999999998943
10,80,14,75,25,14,1.0,3,949.6300000000106,-50.36999999998943
20,70,14,75,25,14,1.0,4,949.4699999999993,-50.530000000000655
20,70,14,75,30,14,1.0,4,949.4699999999993,-50.530000000000655
5,80,14,70,25,14,1.5,4,949.1500000000068,-50.8499999999932
5,80,14,70,30,14,1.5,4,949.1500000000068,-50.8499999999932
10,80,14,70,30,14,1.5,4,949.0800000000053,-50.91999999999473
10,80,14,70,25,14,1.5,4,949.0800000000053,-50.91999999999473
10,70,14,75,25,14,1.0,3,948.3700000000123,-51.62999999998772
10,70,14,75,30,14,1.0,3,948.3700000000123,-51.62999999998772
15,50,14,70,25,14,1.5,3,947.9700000000086,-52.029999999991446
15,50,14,70,30,14,1.5,3,947.9700000000086,-52.029999999991446
15,50,14,75,30,14,1.0,3,947.8200000000127,-52.17999999998733
15,50,14,75,25,14,1.0,3,947.8200000000127,-52.17999999998733
10,70,14,70,30,14,1.5,4,947.820000000007,-52.179999999993015
10,70,14,70,25,14,1.5,4,947.820000000007,-52.179999999993015
10,40,14,75,30,14,2.0,2,947.5400000000006,-52.459999999999354
10,40,14,75,25,14,2.0,2,947.5400000000006,-52.459999999999354
10,60,14,70,30,14,1.5,3,947.5200000000076,-52.4799999999924
10,60,14,70,25,14,1.5,3,947.5200000000076,-52.4799999999924
10,90,14,70,25,14,1.0,3,946.8800000000105,-53.119999999989545
10,90,14,70,30,14,1.0,3,946.8800000000105,-53.119999999989545
20,40,14,75,30,14,1.0,3,946.7900000000112,-53.20999999998878
20,40,14,75,25,14,1.0,3,946.7900000000112,-53.20999999998878
15,50,14,70,30,14,1.0,4,946.7600000000076,-53.23999999999239
15,50,14,70,25,14,1.0,4,946.7600000000076,-53.23999999999239
5,100,14,75,25,14,2.0,4,945.7900000000047,-54.20999999999526
5,100,14,75,30,14,2.0,4,945.7900000000047,-54.20999999999526
10,60,14,75,25,14,1.0,3,945.6700000000105,-54.32999999998947
10,60,14,75,30,14,1.0,3,945.6700000000105,-54.32999999998947
15,50,14,70,30,14,1.5,4,945.5700000000063,-54.4299999999937
15,50,14,70,25,14,1.5,4,945.5700000000063,-54.4299999999937
5,90,14,75,25,14,2.0,4,945.2900000000036,-54.7099999999964
5,90,14,75,30,14,2.0,4,945.2900000000036,-54.7099999999964
10,60,14,70,25,14,1.5,4,945.1200000000053,-54.87999999999465
10,60,14,70,30,14,1.5,4,945.1200000000053,-54.87999999999465
20,50,14,70,25,14,1.0,3,944.730000000009,-55.269999999991
20,50,14,70,30,14,1.0,3,944.730000000009,-55.269999999991
10,90,14,70,30,14,1.5,3,944.6700000000083,-55.32999999999174
10,90,14,70,25,14,1.5,3,944.6700000000083,-55.32999999999174
5,70,14,75,30,14,1.5,4,943.4300000000053,-56.56999999999471
5,70,14,75,25,14,1.5,4,943.4300000000053,-56.56999999999471
20,70,14,75,30,14,1.5,2,942.8900000000014,-57.10999999999865
20,70,14,75,25,14,1.5,2,942.8900000000014,-57.10999999999865
10,90,14,75,25,14,1.0,3,942.8200000000112,-57.17999999998881
10,90,14,75,30,14,1.0,3,942.8200000000112,-57.17999999998881
10,90,14,70,25,14,1.5,4,942.270000000006,-57.72999999999399
10,90,14,70,30,14,1.5,4,942.270000000006,-57.72999999999399
15,60,14,70,25,14,2.0,3,942.0300000000052,-57.9699999999948
15,60,14,70,30,14,2.0,3,942.0300000000052,-57.9699999999948
20,50,14,70,30,14,1.5,3,941.9600000000077,-58.03999999999235
20,50,14,70,25,14,1.5,3,941.9600000000077,-58.03999999999235
15,80,14,75,30,14,2.0,2,941.8000000000019,-58.19999999999811
15,80,14,75,25,14,2.0,2,941.8000000000019,-58.19999999999811
20,70,14,75,30,14,1.0,3,941.6300000000058,-58.36999999999421
20,70,14,75,25,14,1.0,3,941.6300000000058,-58.36999999999421
15,70,14,75,25,14,1.0,3,941.3200000000097,-58.67999999999029
15,70,14,75,30,14,1.0,3,941.3200000000097,-58.67999999999029
10,50,14,75,25,14,2.0,2,941.0500000000035,-58.94999999999652
10,50,14,75,30,14,2.0,2,941.0500000000035,-58.94999999999652
10,100,14,75,30,14,2.0,2,940.2600000000042,-59.7399999999958
10,100,14,75,25,14,2.0,2,940.2600000000042,-59.7399999999958
15,80,14,75,25,14,1.5,3,940.2500000000118,-59.74999999998818
15,80,14,75,30,14,1.5,3,940.2500000000118,-59.74999999998818
20,60,14,75,25,14,1.5,3,940.220000000013,-59.77999999998701
